X,Y,Index_,Event_Unique_ID,Occurrence_Date,Occurrence_year,Month,Day_of_week,Occurrence_Hour,Time_Range,Division,Death,Injuries,Hood_ID,Neighbourhood,Long,Lat,ObjectId
-8847033.548,5427688.295,57,GO-2004239848,2004/04/21 04:00:00+00,2004,April,Wednesday,0,Night,D32,0,1,26,Downsview-Roding-CFB (26),-79.47425455,43.75553514,57
-8815752.765,5428870.767,58,GO-2004339280,2004/04/23 04:00:00+00,2004,April,Friday,22,Evening,D42,0,0,136,West Hill (136),-79.1932545,43.76320713,58
-8816102.274,5429324.086,59,GO-2004333885,2004/04/23 04:00:00+00,2004,April,Friday,21,Evening,D42,0,1,136,West Hill (136),-79.19639419,43.76614804,59
-8850322.435,5419576.636,60,GO-2004390743,2004/04/26 04:00:00+00,2004,April,Monday,0,Night,D12,0,0,113,Weston (113),-79.50379913,43.70287945,60
-8858721.4,5424561.385,61,GO-2004350484,2004/05/01 04:00:00+00,2004,May,Saturday,19,Evening,D23,1,0,2,Mount Olive-Silverstone-Jamestown (2),-79.57924831,43.73524273,61
-8827795.742,5419504.107,62,GO-2004417251,2004/05/01 04:00:00+00,2004,May,Saturday,21,Evening,D55,0,0,54,O'Connor-Parkview (54),-79.3014384,43.70240843,62
-8830835.096,5418508.377,63,GO-2004301868,2004/05/02 04:00:00+00,2004,May,Sunday,0,Night,D55,1,0,58,Old East York (58),-79.32874138,43.69594155,63
-8850905.788,5427807.5,64,GO-2004388577,2004/05/12 04:00:00+00,2004,May,Wednesday,0,Night,D31,0,0,25,Glenfield-Jane Heights (25),-79.50903948,43.7563086,64
-8852036.679,5427277.926,65,GO-2004387646,2004/05/13 04:00:00+00,2004,May,Thursday,16,Afternoon,D31,0,0,25,Glenfield-Jane Heights (25),-79.51919844,43.7528724,65
-8838890.841,5411787.52,66,GO-2004354521,2004/05/13 04:00:00+00,2004,May,Thursday,22,Evening,D14,0,0,78,Kensington-Chinatown (78),-79.40110737,43.65227394,66
-8851983.639,5429788.979,67,GO-2004311851,2004/05/14 04:00:00+00,2004,May,Friday,16,Afternoon,D31,1,1,24,Black Creek (24),-79.51872198,43.76916389,67
-8851154.833,5418878.353,68,GO-2004591388,2004/05/14 04:00:00+00,2004,May,Friday,0,Night,D12,0,0,113,Weston (113),-79.51127669,43.69834448,68
-8851983.639,5429788.979,69,GO-2004392487,2004/05/14 04:00:00+00,2004,May,Friday,16,Afternoon,D31,0,1,24,Black Creek (24),-79.51872198,43.76916389,69
-8820390.637,5431695.841,70,GO-2004397105,2004/05/15 04:00:00+00,2004,May,Saturday,1,Night,D41,0,0,137,Woburn (137),-79.23491721,43.78153248,70
-8849078.224,5406051.675,71,GO-2004394774,2004/05/19 04:00:00+00,2004,May,Wednesday,20,Evening,D22,0,0,17,Mimico (includes Humber Bay Shores) (17),-79.49262219,43.61498114,71
-8859391.829,5424101.967,72,GO-2004408691,2004/05/20 04:00:00+00,2004,May,Thursday,2,Night,D23,0,0,2,Mount Olive-Silverstone-Jamestown (2),-79.58527088,43.73226071,72
-8843186.048,5411463.58,73,GO-2004408131,2004/05/20 04:00:00+00,2004,May,Thursday,4,Night,D14,0,1,84,Little Portugal (84),-79.43969187,43.65016839,73
-8849417.535,5415469.706,74,GO-2004406517,2004/05/20 04:00:00+00,2004,May,Thursday,0,Night,D12,0,2,111,Rockcliffe-Smythe (111),-79.49567027,43.67620224,74
-8836246.142,5413130.139,75,GO-2004387719,2004/05/20 04:00:00+00,2004,May,Thursday,12,Afternoon,D51,0,0,75,Church-Yonge Corridor (75),-79.37734964,43.66099991,75
-8834644.459,5412989.665,76,GO-2004374867,2004/05/21 04:00:00+00,2004,May,Friday,19,Evening,D51,1,0,72,Regent Park (72),-79.36296147,43.660087,76
-8847609.164,5421400.303,77,GO-2004308782,2004/05/22 04:00:00+00,2004,May,Saturday,22,Evening,D31,1,0,29,Maple Leaf (29),-79.4794254,43.71472156,77
-8859650.312,5417817.315,78,GO-2004409444,2004/05/23 04:00:00+00,2004,May,Sunday,3,Night,D23,0,0,1,West Humber-Clairville (1),-79.58759287,43.69145296,78
-8859560.281,5417277.886,79,GO-2004414391,2004/05/24 04:00:00+00,2004,May,Monday,22,Evening,D23,0,0,1,West Humber-Clairville (1),-79.58678411,43.68794902,79
-8849610.97,5414809.346,80,GO-2004423639,2004/05/25 04:00:00+00,2004,May,Tuesday,17,Afternoon,D12,0,0,111,Rockcliffe-Smythe (111),-79.49740793,43.67191166,80
-8835112.281,5412209.21,81,GO-2004482932,2004/05/27 04:00:00+00,2004,May,Thursday,3,Night,D51,0,1,73,Moss Park (73),-79.36716399,43.65501473,81
-8860382.604,5425591.187,82,GO-2004421259,2004/05/28 04:00:00+00,2004,May,Friday,21,Evening,D23,0,0,1,West Humber-Clairville (1),-79.59417116,43.7419265,82
-8846600.252,5417782.348,83,GO-2004437150,2004/05/28 04:00:00+00,2004,May,Friday,15,Afternoon,D12,0,1,110,Keelesdale-Eglinton West (110),-79.47036219,43.69122583,83
0,0,84,GO-2004455760,2004/05/29 04:00:00+00,2004,May,Saturday,18,Evening,D51,0,1,NSA,NSA,0,0,84
-8857543.791,5411346.43,85,GO-2004413914,2004/05/30 04:00:00+00,2004,May,Sunday,16,Afternoon,D22,0,1,13,Etobicoke West Mall (13),-79.56866967,43.64940692,85
-8841894.531,5409281.108,86,GO-2004455137,2004/06/01 04:00:00+00,2004,June,Tuesday,2,Night,D14,1,0,85,South Parkdale (85),-79.42808998,43.63598082,86
0,0,87,GO-2004484856,2004/06/03 04:00:00+00,2004,June,Thursday,15,Afternoon,D14,0,1,NSA,NSA,0,0,87
-8849310.457,5415129.334,88,GO-20041053840,2004/06/03 04:00:00+00,2004,June,Thursday,20,Evening,D12,0,0,111,Rockcliffe-Smythe (111),-79.49470837,43.67399077,88
-8827558.398,5432013.762,89,GO-2004487997,2004/06/04 04:00:00+00,2004,June,Friday,21,Evening,D42,0,1,118,Tam O'Shanter-Sullivan (118),-79.2993063,43.78359438,89
-8818699.441,5427797.433,90,GO-2004457239,2004/06/04 04:00:00+00,2004,June,Friday,18,Evening,D43,0,0,137,Woburn (137),-79.21972494,43.75624328,90
-8860130.267,5426115.778,91,GO-2004510279,2004/06/08 04:00:00+00,2004,June,Tuesday,1,Night,D23,0,0,2,Mount Olive-Silverstone-Jamestown (2),-79.59190438,43.74533099,91
-8815752.765,5428870.767,92,GO-2004515049,2004/06/10 04:00:00+00,2004,June,Thursday,16,Afternoon,D43,0,1,136,West Hill (136),-79.1932545,43.76320713,92
-8838014.849,5411190.39,93,GO-2004525248,2004/06/11 04:00:00+00,2004,June,Friday,20,Evening,D52,0,1,77,Waterfront Communities-The Island (77),-79.3932382,43.64839265,93
-8841353.425,5413362.492,94,GO-2004521591,2004/06/12 04:00:00+00,2004,June,Saturday,23,Evening,D14,0,1,80,Palmerston-Little Italy (80),-79.42322914,43.6625099,94
-8850757.515,5421809.669,95,GO-2004518544,2004/06/12 04:00:00+00,2004,June,Saturday,0,Night,D31,0,0,23,Pelmo Park-Humberlea (23),-79.50770752,43.71737949,95
-8835538.422,5412713.829,96,GO-2004513214,2004/06/13 04:00:00+00,2004,June,Sunday,18,Evening,D51,0,1,73,Moss Park (73),-79.37099208,43.65829436,96
-8848633.451,5406046.915,97,GO-2004511158,2004/06/13 04:00:00+00,2004,June,Sunday,17,Afternoon,D22,0,0,17,Mimico (includes Humber Bay Shores) (17),-79.48862673,43.61495018,97
-8851943.852,5408743.837,98,GO-2004513218,2004/06/14 04:00:00+00,2004,June,Monday,17,Afternoon,D22,0,0,14,Islington-City Centre West (14),-79.51836456,43.63248768,98
-8848726.969,5409851.75,99,GO-2004650414,2004/06/15 04:00:00+00,2004,June,Tuesday,13,Afternoon,D22,0,0,16,Stonegate-Queensway (16),-79.48946681,43.63969071,99
-8820513.121,5433290.808,100,GO-2004505020,2004/06/17 04:00:00+00,2004,June,Thursday,1,Night,D42,0,0,132,Malvern (132),-79.2360175,43.79187604,100
-8839622.366,5410346.683,201,GO-2005920738,2005/01/21 05:00:00+00,2005,January,Friday,21,Evening,D14,2,0,82,Niagara (82),-79.40767877,43.64290821,101
-8849869.807,5425325.671,202,GO-2005772582,2005/01/26 05:00:00+00,2005,January,Wednesday,18,Evening,D31,0,1,25,Glenfield-Jane Heights (25),-79.4997331,43.74020328,102
-8829591.03,5437345.501,203,GO-2005873262,2005/01/26 05:00:00+00,2005,January,Wednesday,0,Night,D42,0,1,116,Steeles (116),-79.31756575,43.81816317,103
